City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
prince rupert,54.3161,-130.3201,22.32,68,90,5.75,CA,1612922956
dwarka,22.2394,68.9678,66.99,75,100,6.2,IN,1612922956
rikitea,-23.1203,-134.9692,79.41,69,52,6.31,PF,1612922956
paamiut,61.994,-49.6678,27.23,84,95,10.31,GL,1612922816
komsomolskiy,40.4272,71.7189,42.8,81,99,6.91,UZ,1612922957
padang,-0.9492,100.3543,84.2,74,20,2.3,ID,1612922718
marrakesh,31.6315,-8.0083,57.2,88,75,3.44,MA,1612922722
vila franca do campo,37.7167,-25.4333,61.43,94,75,21.85,PT,1612922957
ushuaia,-54.8,-68.3,62.6,72,0,4.61,AR,1612922819
eldorado,-23.7869,-54.2836,68.5,87,87,3.89,BR,1612922958
hambantota,6.1241,81.1185,69.8,94,71,6.91,LK,1612922768
bredasdorp,-34.5322,20.0403,57.2,88,87,3.13,ZA,1612922958
mataura,-46.1927,168.8643,49.86,93,100,10.63,NZ,1612922958
amot,59.5714,7.9877,9.43,77,15,6.53,NO,1612922958
albany,42.6001,-73.9662,21.58,62,0,3.0,US,1612922802
santa isabel do rio negro,-0.4139,-65.0192,76.91,88,100,1.81,BR,1612922772
sao jose da coroa grande,-8.8978,-35.1478,78.15,79,22,5.77,BR,1612922959
khatanga,71.9667,102.5,-13.92,84,0,7.65,RU,1612922959
airai,-8.9266,125.4092,71.91,81,100,3.8,TL,1612922959
hobart,-42.8794,147.3294,68.7,42,20,4.61,AU,1612922959
qaanaaq,77.484,-69.3632,14.32,77,0,5.26,GL,1612922959
gat,31.61,34.7642,53.8,20,76,0.18,IL,1612922836
anahuac,27.2333,-100.15,77.0,53,1,9.22,MX,1612922960
saldanha,-33.0117,17.9442,64.4,82,0,10.36,ZA,1612922825
haines junction,60.7522,-137.5108,-27.4,56,43,1.32,CA,1612922960
bambous virieux,-20.3428,57.7575,76.05,83,40,3.44,MU,1612922960
yellowknife,62.456,-114.3525,-9.13,77,90,11.5,CA,1612922920
hithadhoo,-0.6,73.0833,82.02,81,72,14.79,MV,1612922961
dukhovnitskoye,52.4828,48.2137,1.99,93,100,14.0,RU,1612922961
hilo,19.7297,-155.09,67.51,68,75,14.97,US,1612922913
pauini,-7.7136,-66.9764,74.28,98,100,2.3,BR,1612922961
saskylakh,71.9167,114.0833,-25.91,82,0,8.52,RU,1612922961
cape town,-33.9258,18.4232,68.0,77,0,14.97,ZA,1612922671
busselton,-33.65,115.3333,65.88,59,0,4.0,AU,1612922962
westport,41.1415,-73.3579,24.91,80,1,3.44,US,1612922962
simao,22.7886,100.9748,52.93,73,3,1.63,CN,1612922962
lianran,24.9227,102.485,40.6,100,0,2.24,CN,1612922962
atuona,-9.8,-139.0333,79.56,74,0,17.18,PF,1612922962
bluff,-46.6,168.3333,53.73,87,100,21.07,NZ,1612922958
portobelo,9.55,-79.65,74.95,99,34,12.48,PA,1612922962
lorengau,-2.0226,147.2712,85.46,71,100,5.91,PG,1612922822
wagar,16.1525,36.2032,65.91,84,0,9.78,SD,1612922963
tiznit,29.5833,-9.5,54.99,85,100,3.58,MA,1612922963
lisakovsk,52.5369,62.4936,-12.46,83,0,6.71,KZ,1612922963
new norfolk,-42.7826,147.0587,68.27,42,0,3.0,AU,1612922789
waingapu,-9.6567,120.2641,85.28,69,91,8.25,ID,1612922822
el cope,8.6167,-80.6,77.79,69,0,6.91,PA,1612922963
ishigaki,24.3448,124.1572,69.8,73,75,20.71,JP,1612922963
monteagudo,-19.8167,-63.9833,59.65,91,100,2.71,BO,1612922964
jamestown,42.097,-79.2353,17.6,79,90,8.05,US,1612922964
qaqortoq,60.7167,-46.0333,33.8,27,5,31.07,GL,1612922964
vaini,-21.2,-175.2,78.8,89,75,24.16,TO,1612922964
svetlogorsk,52.6333,29.7333,7.86,95,98,5.37,BY,1612922964
kahului,20.8947,-156.47,71.24,46,40,17.27,US,1612922965
puerto ayora,-0.7393,-90.3518,78.01,91,79,4.52,EC,1612922965
nanortalik,60.1432,-45.2371,27.99,86,0,18.95,GL,1612922965
dikson,73.5069,80.5464,-26.7,87,100,9.44,RU,1612922962
kapaa,22.0752,-159.319,70.7,49,75,14.97,US,1612922806
yakeshi,49.2833,120.7333,6.78,93,100,5.26,CN,1612922965
moorhead,46.8739,-96.7676,-5.87,71,1,4.38,US,1612922965
moshupa,-24.7782,25.4155,69.8,94,0,5.75,BW,1612922965
cherskiy,68.75,161.3,-2.25,85,0,2.66,RU,1612922961
mitu,1.1983,-70.1733,73.89,97,100,2.21,CO,1612922682
port blair,11.6667,92.75,77.97,60,62,12.28,IN,1612922966
lasa,46.6166,10.7002,33.39,86,75,4.61,IT,1612922966
kaitangata,-46.2817,169.8464,57.0,90,100,7.0,NZ,1612922967
tuktoyaktuk,69.4541,-133.0374,-38.2,67,20,4.61,CA,1612922967
saint-philippe,-21.3585,55.7679,75.4,57,0,6.91,RE,1612922967
souillac,-20.5167,57.5167,77.0,83,40,3.44,MU,1612922967
grand-lahou,5.1367,-5.0242,78.76,90,0,6.26,CI,1612922967
kutum,14.2,24.6667,56.23,39,34,10.83,SD,1612922968
bengkulu,-3.8004,102.2655,81.79,70,96,3.56,ID,1612922968
red bluff,40.1785,-122.2358,58.95,51,90,1.59,US,1612922968
chimbote,-9.0853,-78.5783,71.37,81,95,5.26,PE,1612922968
port elizabeth,-33.918,25.5701,66.2,94,0,3.44,ZA,1612922701
kelvington,52.1667,-103.5343,-18.4,69,100,8.05,CA,1612922968
upernavik,72.7868,-56.1549,11.16,76,0,4.5,GL,1612922968
sasykoli,47.5515,46.9968,35.01,99,100,16.15,RU,1612922969
mareeba,-17.0,145.4333,84.83,70,40,1.14,AU,1612922969
seoul,37.5683,126.9778,36.23,75,75,5.75,KR,1612922868
kavieng,-2.5744,150.7967,84.63,75,84,9.04,PG,1612922800
camaqua,-30.8511,-51.8122,69.48,93,68,5.75,BR,1612922969
ouesso,1.6136,16.0517,72.3,76,100,1.66,CG,1612922969
tadine,-21.55,167.8833,81.25,75,28,13.85,NC,1612922969
norman wells,65.282,-126.8329,-34.6,67,20,4.61,CA,1612922970
kwinana,-32.25,115.7667,68.72,56,40,16.11,AU,1612922970
birnin kebbi,12.4539,4.1975,69.98,19,0,7.96,NG,1612922970
hermanus,-34.4187,19.2345,62.01,92,91,1.99,ZA,1612922970
avarua,-21.2078,-159.775,84.2,74,20,10.36,CK,1612922968
nikolskoye,59.7035,30.7861,-2.06,77,100,2.24,RU,1612922970
barra,-11.0894,-43.1417,74.91,82,83,1.48,BR,1612922970
carnarvon,-24.8667,113.6333,78.8,73,0,25.32,AU,1612922809
nikolayevsk-na-amure,53.1406,140.73,7.21,92,100,8.72,RU,1612922971
pierre,44.3683,-100.351,5.0,61,75,4.61,US,1612922964
tawang,27.5833,91.8667,42.58,48,0,0.85,IN,1612922971
waipawa,-41.4122,175.5153,65.84,64,75,27.63,NZ,1612922971
kaniama,-7.5667,24.1833,65.08,96,93,2.1,CD,1612922971
layou,13.2,-61.2667,78.8,73,20,14.97,VC,1612922971
kavaratti,10.5669,72.642,81.03,68,0,11.5,IN,1612922971
kargasok,59.0556,80.8572,-9.11,90,100,8.43,RU,1612922972
kodiak,57.79,-152.4072,33.8,86,90,3.44,US,1612922972
punta arenas,-53.15,-70.9167,62.29,63,0,2.3,CL,1612922956
walvis bay,-22.9575,14.5053,65.17,88,82,3.44,NA,1612922972
castro,-24.7911,-50.0119,57.69,91,100,6.55,BR,1612922972
champerico,14.3,-91.9167,66.06,95,27,8.68,GT,1612922972
auki,-8.7676,160.7034,80.47,83,52,10.2,SB,1612922972
esperance,-33.8667,121.9,73.4,49,40,5.75,AU,1612922973
kruisfontein,-34.0033,24.7314,61.0,94,23,4.07,ZA,1612922973
el seibo,18.7641,-69.0375,71.6,100,40,11.5,DO,1612922973
morant bay,17.8815,-76.4093,75.79,65,40,17.27,JM,1612922973
chokurdakh,70.6333,147.9167,-13.94,87,0,2.53,RU,1612922973
oriximina,-1.7656,-55.8661,77.34,90,100,2.06,BR,1612922973
gao,16.6362,1.637,72.99,17,0,10.07,ML,1612922974
itarema,-2.9248,-39.9167,77.22,89,100,5.26,BR,1612922974
massa,44.022,10.1141,50.05,92,100,1.01,IT,1612922974
isangel,-19.55,169.2667,84.2,74,75,9.22,VU,1612922974
faanui,-16.4833,-151.75,81.93,73,0,12.91,PF,1612922974
beyneu,45.3167,55.2,30.85,93,100,13.67,KZ,1612922685
kushima,31.4583,131.2333,48.58,43,40,8.05,JP,1612922975
grindavik,63.8424,-22.4338,32.0,100,90,6.91,IS,1612922975
fairbanks,64.8378,-147.7164,-19.84,64,1,4.74,US,1612922722
tieli,46.95,128.05,12.54,93,100,2.13,CN,1612922975
vostok,46.4856,135.8833,6.93,92,100,4.59,RU,1612922975
chabahar,25.2919,60.643,69.08,42,99,7.4,IR,1612922710
east london,-33.0153,27.9116,69.98,83,0,2.28,ZA,1612922976
port alfred,-33.5906,26.891,69.01,94,3,1.01,ZA,1612922976
teahupoo,-17.8333,-149.2667,83.1,61,75,14.97,PF,1612922881
iqaluit,63.7506,-68.5145,1.2,78,1,3.24,CA,1612922976
bom jesus,-9.0744,-44.3586,71.28,91,25,1.68,BR,1612922976
husavik,66.0449,-17.3389,21.2,93,90,2.3,IS,1612922976
cidreira,-30.1811,-50.2056,74.71,80,98,18.88,BR,1612922977
lata,40.1629,-8.3327,53.76,90,100,13.0,PT,1612922977
bathsheba,13.2167,-59.5167,75.2,78,75,14.97,BB,1612922828
cozumel,20.5083,-86.9458,78.03,88,75,10.25,MX,1612922969
katsuura,35.1333,140.3,48.54,29,75,5.75,JP,1612922977
sinjai,-5.1241,120.253,87.71,55,100,2.04,ID,1612922750
araxa,-19.5933,-46.9406,62.1,92,0,2.33,BR,1612922977
kualakapuas,-3.0091,114.3876,84.2,84,40,6.91,ID,1612922978
san juan,-31.5375,-68.5364,72.55,51,48,6.82,AR,1612922978
kurchum,48.5722,83.6542,-5.6,84,0,1.5,KZ,1612922978
cabo san lucas,22.8909,-109.9124,65.5,82,1,14.97,MX,1612922928
seymchan,62.8833,152.4333,0.9,89,100,11.54,RU,1612922978
pathein,16.7833,94.7333,72.81,38,25,8.43,MM,1612922978
sorland,67.667,12.6934,30.4,83,69,11.1,NO,1612922978
ribeira grande,38.5167,-28.7,60.22,85,100,16.22,PT,1612922789
cumana,10.4635,-64.1775,74.03,79,55,12.75,VE,1612922979
severo-yeniseyskiy,60.3725,93.0408,-9.27,89,100,10.78,RU,1612922681
conceicao do araguaia,-8.2578,-49.2647,72.82,95,100,5.86,BR,1612922979
labuhan,-6.8844,112.2051,82.89,76,96,8.08,ID,1612922979
vila velha,-20.3297,-40.2925,73.42,94,90,3.44,BR,1612922959
hobyo,5.3505,48.5268,76.14,74,3,17.13,SO,1612922979
ikom,5.9667,8.7063,73.98,92,21,2.28,NG,1612922789
lotofaga,-13.9764,-171.8578,89.6,74,75,4.61,WS,1612922980
moerai,-22.4333,-151.3333,80.58,70,35,13.53,PF,1612922980
bassano del grappa,45.7676,11.7357,44.44,88,100,4.34,IT,1612922980
okha,53.5739,142.9478,15.33,95,100,25.95,RU,1612922980
barrow,71.2906,-156.7887,-22.0,69,1,17.27,US,1612922694
hasaki,35.7333,140.8333,48.09,36,75,8.05,JP,1612922981
klaksvik,62.2266,-6.589,26.6,74,99,8.05,FO,1612922804
alta floresta,-9.8756,-56.0861,75.2,94,0,4.61,BR,1612922981
butaritari,3.0707,172.7902,81.52,83,100,15.39,KI,1612922797
san patricio,28.017,-97.5169,67.68,94,90,13.8,US,1612922981
ketchikan,55.3422,-131.6461,16.52,53,20,6.91,US,1612922981
tilichiki,60.4667,166.1,14.88,94,100,10.27,RU,1612922982
codrington,-38.2667,141.9667,82.44,35,0,4.09,AU,1612922982
terra santa,-2.1042,-56.4869,76.53,91,100,1.21,BR,1612922982
lompoc,34.6391,-120.4579,51.51,76,75,6.91,US,1612922817
pevek,69.7008,170.3133,-4.38,75,0,3.04,RU,1612922982
